id;type;name;level;habitat;continent;animal class;open areas;gender;immediate effect;ongoing effect;prerequisite;appeal;pair
1;animal;lion;4;rock;africa;predator;;male;;;;2 per predator;2
2;animal;lion;4;rock;africa;predator;;female;;;;2 per predator;1
3;animal;australian dingo;2;rock;australia;predator;;male;;;;1 per predator;4
4;animal;australian dingo;2;rock;australia;predator;;female;;;;1 per predator;3
5;animal;eurasian otter;3;water;europe;predator;;male;; ;;2 per connected water;6
6;animal;eurasian otter;3;water;europe;predator;;female;; ;;2 per connected water;5
7;animal;caracal;2;rock;africa;predator;SW;;draw 3 tiles from the pile, keep 1 animal;;;3;
8;animal;australian sea lion;4;water;australia;predator;N;;draw 3 tiles from the pile, keep 1 animal;;;2 per predator;
9;animal;eurasian brown bear;5;forest;europe;predator;N;;take all projects from the display;;;8;
10;animal;sumatran tiger;5;water;asia;predator;NW, NE;female;take 1 conservation token;;;8;11
11;animal;sumatran tiger;5;water;asia;predator;SW, SE;male;take 1 conservation token;;;8;10
12;animal;jaguar;4;forest;americas;predator;SW;male;draw 3 tiles from the pile, keep 1 animal;;;7;13
13;animal;jaguar;4;forest;americas;predator;NE;female;draw 3 tiles from the pile, keep 1 animal;;;7;12
14;animal;great hornbill;3;forest;asia;bird;;;;;;2 per connected asia;
15;animal;laughing kookaburra;3;rock;australia;bird;;;;;;2 per connected australia;
16;animal;toco toucan;3;rock;americas;bird;;;;;;2 per connected americas;
17;animal;snowy owl;3;rock;europe;bird;;;;;;2 per connected europe;
18;animal;common ostrich;5;rock;africa;bird;;;place 2 open areas from the pile in your zoo;;;6;
19;animal;greater flamingo;3;water;africa;bird;;;;;;2 per connected africa;
20;animal;white stork;3;forest;europe;bird;;female;place 1 open area from the pile in your zoo;;;1 per open area;21
21;animal;white stork;3;forest;europe;bird;;male;place 1 open area from the pile in your zoo;;;1 per open area;20
22;animal;scarlet macaw;4;forest;americas;bird;;male;;;;4;23
23;animal;scarlet macaw;4;forest;americas;bird;;female;;;;4;22
24;animal;australian pelican;4;water;australia;bird;;male;place 1 open area from the pile in your zoo;;;6;25
25;animal;australian pelican;4;water;australia;bird;;female;place 1 open area from the pile in your zoo;;;6;24
26;animal;green peafowl;5;Undefined;asia;bird;;;;;;3 per project;
27;animal;giant panda;5;rock;asia;herbivore;N, NE, SE;;take all buildings from the display;;;9;
28;animal;indian rhinoceros;4;water;asia;herbivore;NW;female;;;;2 per building;29
29;animal;indian rhinoceros;4;water;asia;herbivore;NE;male;;;;2 per building;28
30;animal;african bush elephant;5;Undefined;africa;herbivore;NW, SW, SE;;;;;10;
31;animal;alpine ibex;3;rock;europe;herbivore;;male;;;;2 per connected rock;32
32;animal;alpine ibex;3;rock;europe;herbivore;;female;;;;2 per connected rock;31
33;animal;red-necked wallaby;2;water;australia;herbivore;;;discard up to 2 tiles, gain 1 pouch marker for each;;;3;
34;animal;capybara;2;water;americas;herbivore;;male;;;;4;35
35;animal;capybara;2;water;americas;herbivore;;female;;;;4;34
36;animal;northern giraffe;4;forest;africa;herbivore;NE;female;take 1 building from the display;;;7;37
37;animal;northern giraffe;4;forest;africa;herbivore;SW;male;take 1 building from the display;;;7;36
38;animal;koala;3;forest;australia;herbivore;;male;discard up to 2 tiles, gain 1 pouch marker for each;;;5;39
39;animal;koala;3;forest;australia;herbivore;;female;discard up to 2 tiles, gain 1 pouch marker for each;;;5;38
40;animal;thorny devil;2;rock;australia;reptile;;female;;;;4;41
41;animal;thorny devil;2;rock;australia;reptile;;male;;;;4;40
42;animal;chinese water dragon;2;water;asia;reptile;;;;;;1 per connected water;
43;animal;galapagos giant tortoise;5;Undefined;americas;reptile;;;take 1 conservation token;;;7;
